Temperature [K];CMF;x;y;P;R;G;B;r;g;b;#rgb
6600;2;0.3140;0.3254;3.026e+15;1.0000;0.9513;0.9844;255;249;253;#fff9fd
6600;10;0.3124;0.3231;3.308e+15;0.9917;0.9458;1.0000;254;249;255;#fef9ff
6700;2;0.3125;0.3238;3.214e+15;0.9937;0.9526;1.0000;254;250;255;#fefaff
6700;10;0.3109;0.3217;3.515e+15;0.9696;0.9336;1.0000;252;247;255;#fcf7ff
6800;2;0.3110;0.3224;3.407e+15;0.9726;0.9395;1.0000;252;248;255;#fcf8ff
6800;10;0.3094;0.3203;3.728e+15;0.9488;0.9219;1.0000;249;246;255;#f9f6ff
6900;2;0.3097;0.3209;3.606e+15;0.9526;0.9270;1.0000;250;247;255;#faf7ff
6900;10;0.3080;0.3190;3.948e+15;0.9290;0.9107;1.0000;247;245;255;#f7f5ff
7000;2;0.3083;0.3195;3.811e+15;0.9337;0.9150;1.0000;247;245;255;#f7f5ff
7000;10;0.3066;0.3177;4.174e+15;0.9102;0.9000;1.0000;245;243;255;#f5f3ff
7100;2;0.3070;0.3181;4.022e+15;0.9157;0.9035;1.0000;245;244;255;#f5f4ff
7100;10;0.3053;0.3164;4.407e+15;0.8923;0.8897;1.0000;243;242;255;#f3f2ff
7200;2;0.3058;0.3168;4.238e+15;0.8986;0.8925;1.0000;243;243;255;#f3f3ff
7200;10;0.3040;0.3152;4.647e+15;0.8753;0.8799;1.0000;240;241;255;#f0f1ff
7300;2;0.3045;0.3154;4.460e+15;0.8823;0.8819;1.0000;241;241;255;#f1f1ff
7300;10;0.3028;0.3140;4.892e+15;0.8591;0.8704;1.0000;239;240;255;#eff0ff
7400;2;0.3034;0.3142;4.688e+15;0.8668;0.8718;1.0000;239;240;255;#eff0ff
7400;10;0.3016;0.3128;5.144e+15;0.8437;0.8614;1.0000;237;239;255;#edefff
7500;2;0.3022;0.3129;4.920e+15;0.8520;0.8621;1.0000;238;239;255;#eeefff
7500;10;0.3004;0.3117;5.402e+15;0.8289;0.8527;1.0000;235;238;255;#ebeeff
7600;2;0.3011;0.3117;5.159e+15;0.8379;0.8527;1.0000;236;238;255;#eceeff
7600;10;0.2993;0.3106;5.666e+15;0.8149;0.8443;1.0000;233;237;255;#e9edff
7700;2;0.3000;0.3105;5.402e+15;0.8244;0.8437;1.0000;234;237;255;#eaedff
7700;10;0.2982;0.3095;5.937e+15;0.8014;0.8363;1.0000;231;236;255;#e7ecff
7800;2;0.2990;0.3094;5.651e+15;0.8115;0.8351;1.0000;233;236;255;#e9ecff
7800;10;0.2971;0.3084;6.213e+15;0.7885;0.8285;1.0000;230;235;255;#e6ebff
7900;2;0.2980;0.3082;5.906e+15;0.7992;0.8268;1.0000;231;234;255;#e7eaff
7900;10;0.2961;0.3074;6.495e+15;0.7762;0.8211;1.0000;228;234;255;#e4eaff
8000;2;0.2970;0.3071;6.165e+15;0.7874;0.8187;1.0000;229;233;255;#e5e9ff
8000;10;0.2951;0.3064;6.783e+15;0.7644;0.8139;1.0000;227;233;255;#e3e9ff
8100;2;0.2961;0.3061;6.429e+15;0.7761;0.8110;1.0000;228;233;255;#e4e9ff
8100;10;0.2942;0.3054;7.076e+15;0.7531;0.8069;1.0000;225;232;255;#e1e8ff
8200;2;0.2952;0.3050;6.698e+15;0.7652;0.8035;1.0000;227;232;255;#e3e8ff
8200;10;0.2932;0.3044;7.376e+15;0.7423;0.8002;1.0000;224;231;255;#e0e7ff
8300;2;0.2943;0.3040;6.973e+15;0.7548;0.7963;1.0000;225;231;255;#e1e7ff
8300;10;0.2923;0.3035;7.681e+15;0.7319;0.7938;1.0000;222;230;255;#dee6ff
8400;2;0.2934;0.3030;7.252e+15;0.7449;0.7894;1.0000;224;230;255;#e0e6ff
8400;10;0.2914;0.3026;7.991e+15;0.7219;0.7875;1.0000;221;230;255;#dde6ff
8500;2;0.2926;0.3020;7.535e+15;0.7353;0.7827;1.0000;223;229;255;#dfe5ff
8500;10;0.2906;0.3017;8.307e+15;0.7123;0.7815;1.0000;220;229;255;#dce5ff
8600;2;0.2917;0.3011;7.824e+15;0.7260;0.7762;1.0000;221;228;255;#dde4ff
8600;10;0.2897;0.3008;8.628e+15;0.7030;0.7757;1.0000;218;228;255;#dae4ff
8700;2;0.2910;0.3001;8.117e+15;0.7172;0.7699;1.0000;220;227;255;#dce3ff
8700;10;0.2889;0.3000;8.954e+15;0.6941;0.7700;1.0000;217;227;255;#d9e3ff
8800;2;0.2902;0.2992;8.415e+15;0.7086;0.7638;1.0000;219;226;255;#dbe2ff
8800;10;0.2881;0.2992;9.285e+15;0.6856;0.7645;1.0000;216;227;255;#d8e3ff
8900;2;0.2894;0.2983;8.717e+15;0.7004;0.7579;1.0000;218;226;255;#dae2ff
8900;10;0.2874;0.2983;9.622e+15;0.6773;0.7593;1.0000;215;226;255;#d7e2ff
9000;2;0.2887;0.2975;9.023e+15;0.6925;0.7522;1.0000;217;225;255;#d9e1ff
9000;10;0.2866;0.2976;9.964e+15;0.6693;0.7541;1.0000;214;225;255;#d6e1ff
9100;2;0.2880;0.2966;9.334e+15;0.6848;0.7467;1.0000;216;224;255;#d8e0ff
9100;10;0.2859;0.2968;1.031e+16;0.6617;0.7492;1.0000;212;225;255;#d4e1ff
9200;2;0.2873;0.2958;9.649e+15;0.6774;0.7414;1.0000;215;223;255;#d7dfff
